short,0,"(np.int32(51), np.int32(132), np.int32(200), np.int32(407), np.int32(466), np.int32(468), np.int32(493), np.int32(169), np.int32(583), np.int32(476), np.int32(485), np.int32(485), np.int32(278), np.int32(61), np.int32(1), np.int32(34))",-252,1
short,0,"(np.int32(51), np.int32(132), np.int32(200), np.int32(407), np.int32(466), np.int32(468), np.int32(493), np.int32(169), np.int32(583), np.int32(476), np.int32(485), np.int32(485), np.int32(278), np.int32(61), np.int32(1), np.int32(34))",-167.0,2
